gpos1,gpos2,mean.r2,nobs,chrom,panel,domain
0,0.1,0.5824670797366074,2412119,I,α,arm
0.1,0.2,0.5021854917916496,1896647,I,α,arm
0.2,0.30000000000000004,0.46199701779045294,1583972,I,α,arm
0.30000000000000004,0.4,0.4306046621076818,1319147,I,α,arm
0.4,0.5,0.4195585549930466,1077112,I,α,arm
0.5,0.6000000000000001,0.4124332439408909,1004662,I,α,arm
0.6000000000000001,0.7000000000000001,0.4144143075132277,963461,I,α,arm
0.7000000000000001,0.8,0.38746733511964043,923945,I,α,arm
0.8,0.9,0.3519479134535125,913307,I,α,arm
0.9,1,0.3488158298959025,902004,I,α,arm
1,1.1,0.3705208167889563,878430,I,α,arm
1.1,1.2000000000000002,0.375397976002316,793292,I,α,arm
1.2000000000000002,1.3,0.35360629243879205,792018,I,α,arm
1.3,1.4000000000000001,0.32561708134995654,753775,I,α,arm
1.4000000000000001,1.5,0.3228962180273603,754677,I,α,arm
1.5,1.6,0.33454802022959634,653515,I,α,arm
1.6,1.7000000000000002,0.3122585418642644,647783,I,α,arm
1.7000000000000002,1.8,0.28590580265890125,615514,I,α,arm
1.8,1.9000000000000001,0.2838390808769923,582688,I,α,arm
1.9000000000000001,2,0.2889081649743538,578453,I,α,arm
2,2.1,0.28590594476557785,619658,I,α,arm
2.1,2.2,0.29932878955762066,608457,I,α,arm
2.2,2.3000000000000003,0.31309349116985596,611083,I,α,arm
2.3000000000000003,2.4000000000000004,0.29378411028493173,572973,I,α,arm
2.4000000000000004,2.5,0.2716111100231077,532303,I,α,arm
2.5,2.6,0.2710281281088177,469608,I,α,arm
2.6,2.7,0.26988763885493844,469809,I,α,arm
2.7,2.8000000000000003,0.26656568409923065,444717,I,α,arm
2.8000000000000003,2.9000000000000004,0.26580915385177833,439959,I,α,arm
2.9000000000000004,3,0.2584808578181116,395105,I,α,arm
3,3.1,0.2464471891151449,386633,I,α,arm
3.1,3.2,0.24821195137565377,357578,I,α,arm
3.2,3.3000000000000003,0.24775620853836616,343698,I,α,arm
3.3000000000000003,3.4000000000000004,0.2420474378700519,348500,I,α,arm
3.4000000000000004,3.5,0.23395886488183487,382081,I,α,arm
3.5,3.6,0.22025059858016757,390301,I,α,arm
3.6,3.7,0.20453130043001072,446612,I,α,arm
3.7,3.8000000000000003,0.1893973132129631,507061,I,α,arm
3.8000000000000003,3.9000000000000004,0.17154584398499084,600502,I,α,arm
3.9000000000000004,4,0.1595171251950413,587292,I,α,arm
4,4.1000000000000005,0.1536859874874514,630451,I,α,arm
4.1000000000000005,4.2,0.14397645689514513,646763,I,α,arm
4.2,4.3,0.1399245234688803,663264,I,α,arm
4.3,4.4,0.13225557211995007,668384,I,α,arm
4.4,4.5,0.1331404322606908,613383,I,α,arm
4.5,4.6000000000000005,0.13418769249440002,562404,I,α,arm
4.6000000000000005,4.7,0.1385617158674138,560157,I,α,arm
4.7,4.800000000000001,0.12872581606416655,569778,I,α,arm
4.800000000000001,4.9,0.12526016585257282,562533,I,α,arm
4.9,5,0.11767264178714738,571527,I,α,arm
0,0.1,0.5386180362077149,25128894,I,α,arm&center
0.1,0.2,0.48739159197515924,16694412,I,α,arm&center
0.2,0.30000000000000004,0.486108841753235,12481471,I,α,arm&center
0.30000000000000004,0.4,0.4651100852600778,8834338,I,α,arm&center
0.4,0.5,0.41221647076883144,2954989,I,α,arm&center
0.5,0.6000000000000001,0.4267014312261121,1514094,I,α,arm&center
0.6000000000000001,0.7000000000000001,0.4342847836166083,1338243,I,α,arm&center
0.7000000000000001,0.8,0.4108461985221706,1266918,I,α,arm&center
0.8,0.9,0.39458700683159703,1410155,I,α,arm&center
0.9,1,0.39887026790973146,1326407,I,α,arm&center
1,1.1,0.38927812624590247,1126052,I,α,arm&center
1.1,1.2000000000000002,0.39503735037131393,1092818,I,α,arm&center
1.2000000000000002,1.3,0.3747019637102966,950106,I,α,arm&center
1.3,1.4000000000000001,0.3515416850958192,752986,I,α,arm&center
1.4000000000000001,1.5,0.3303991150049326,657526,I,α,arm&center
1.5,1.6,0.3539151407145658,709475,I,α,arm&center
1.6,1.7000000000000002,0.3734182633257666,874546,I,α,arm&center
1.7000000000000002,1.8,0.3936496342368187,929160,I,α,arm&center
1.8,1.9000000000000001,0.3490328959669821,831992,I,α,arm&center
1.9000000000000001,2,0.34581111676883713,867020,I,α,arm&center
2,2.1,0.3390301574526768,1001986,I,α,arm&center
2.1,2.2,0.33001020831550737,890152,I,α,arm&center
2.2,2.3000000000000003,0.3324213165517777,1040255,I,α,arm&center
2.3000000000000003,2.4000000000000004,0.2971756587429529,1447401,I,α,arm&center
2.4000000000000004,2.5,0.2766688519193815,1291934,I,α,arm&center
2.5,2.6,0.2860657324551327,962784,I,α,arm&center
2.6,2.7,0.256289180268063,882880,I,α,arm&center
2.7,2.8000000000000003,0.216385698901305,706361,I,α,arm&center
