ppos1,ppos2,mean.r2,nobs,chrom,panel,domain
1,20001,0.6213609995518463,1408155,I,α,arm
20001,40001,0.5555307521072606,1227194,I,α,arm
40001,60001,0.5215241040962536,1203806,I,α,arm
60001,80001,0.4989939301156142,1147507,I,α,arm
80001,100001,0.4736004577144168,1147427,I,α,arm
100001,120001,0.4526692821533461,1120233,I,α,arm
120001,140001,0.43464358433575506,1102404,I,α,arm
140001,160001,0.4128558863519443,1142437,I,α,arm
160001,180001,0.3981795366955433,1118374,I,α,arm
180001,200001,0.3752964443555651,1075777,I,α,arm
200001,220001,0.35322232981598917,1077457,I,α,arm
220001,240001,0.3386409948453428,1020030,I,α,arm
240001,260001,0.3267431113689628,990451,I,α,arm
260001,280001,0.32053475881870863,994050,I,α,arm
280001,300001,0.30729074658859706,975316,I,α,arm
300001,320001,0.2887760825387516,981526,I,α,arm
320001,340001,0.27703811540855044,954718,I,α,arm
340001,360001,0.2666716361019426,960250,I,α,arm
360001,380001,0.2569008745700426,939157,I,α,arm
380001,400001,0.24739216534865593,907604,I,α,arm
400001,420001,0.2445282875705412,908650,I,α,arm
420001,440001,0.24216515098117036,892746,I,α,arm
440001,460001,0.2428198943132271,871749,I,α,arm
460001,480001,0.2294850801910332,885267,I,α,arm
480001,500001,0.22187399505728633,873123,I,α,arm
500001,520001,0.21864127495479135,855831,I,α,arm
520001,540001,0.2047434894238109,846093,I,α,arm
540001,560001,0.19540249666870968,829588,I,α,arm
560001,580001,0.18257675798517428,850920,I,α,arm
580001,600001,0.1751704191987392,837100,I,α,arm
600001,620001,0.17129065840477967,839271,I,α,arm
620001,640001,0.1672664732333785,844677,I,α,arm
640001,660001,0.16442927571305063,798056,I,α,arm
660001,680001,0.16151873473838482,783188,I,α,arm
680001,700001,0.15059811759656044,812155,I,α,arm
700001,720001,0.1515623406420933,800621,I,α,arm
720001,740001,0.1431133930825336,813376,I,α,arm
740001,760001,0.13059317063027726,803914,I,α,arm
760001,780001,0.12626287293124022,803674,I,α,arm
780001,800001,0.12221786625321762,811825,I,α,arm
800001,820001,0.11514177408894251,762271,I,α,arm
820001,840001,0.11163836683922175,745053,I,α,arm
840001,860001,0.1020273778189704,747103,I,α,arm
860001,880001,0.09570387193641275,750419,I,α,arm
880001,900001,0.09452045488220552,760618,I,α,arm
900001,920001,0.09167739300082538,741757,I,α,arm
920001,940001,0.08784169690379048,730777,I,α,arm
940001,960001,0.08004263990390786,737894,I,α,arm
960001,980001,0.07433946703586385,709821,I,α,arm
1,20001,0.6510644847667848,1383011,I,α,arm&center
20001,40001,0.5871199077747701,1209594,I,α,arm&center
40001,60001,0.5592086111517872,1164747,I,α,arm&center
60001,80001,0.5390646087227409,1135346,I,α,arm&center
80001,100001,0.5222903618994061,1136870,I,α,arm&center
100001,120001,0.505297604379687,1126859,I,α,arm&center
120001,140001,0.4903211126615176,1124277,I,α,arm&center
140001,160001,0.47663882780253164,1127928,I,α,arm&center
160001,180001,0.46700130066052303,1118931,I,α,arm&center
180001,200001,0.4543506450264622,1108129,I,α,arm&center
200001,220001,0.43953994236026517,1122766,I,α,arm&center
220001,240001,0.4334882257867429,1098177,I,α,arm&center
240001,260001,0.4259220152333643,1075439,I,α,arm&center
260001,280001,0.42265449724646587,1077321,I,α,arm&center
280001,300001,0.42105043439842976,1058456,I,α,arm&center
300001,320001,0.41165182756927904,1066190,I,α,arm&center
320001,340001,0.40397179709850656,1058716,I,α,arm&center
340001,360001,0.39524100041604315,1070131,I,α,arm&center
360001,380001,0.3951691744519882,1053944,I,α,arm&center
380001,400001,0.3911457865004482,1017092,I,α,arm&center
400001,420001,0.3940614799109123,1016686,I,α,arm&center
420001,440001,0.39540149124284096,1027694,I,α,arm&center
440001,460001,0.39704796928797903,1035509,I,α,arm&center
460001,480001,0.3914302450079528,1040016,I,α,arm&center
480001,500001,0.3825517757076525,1019985,I,α,arm&center
500001,520001,0.3835835700696296,1019686,I,α,arm&center
520001,540001,0.37414515644917656,1008108,I,α,arm&center
540001,560001,0.36479780090014624,999050,I,α,arm&center
560001,580001,0.35677199348167016,1009672,I,α,arm&center
580001,600001,0.34945031135582566,1005328,I,α,arm&center
600001,620001,0.3486628504683978,1000912,I,α,arm&center
620001,640001,0.3476542580393752,995795,I,α,arm&center
640001,660001,0.34704738213708414,979024,I,α,arm&center
660001,680001,0.3467909554867286,983512,I,α,arm&center
680001,700001,0.33443712348661664,997132,I,α,arm&center
700001,720001,0.3345729449872939,994366,I,α,arm&center
720001,740001,0.3262234155279184,999526,I,α,arm&center
740001,760001,0.3200780450717787,993085,I,α,arm&center
760001,780001,0.3144817332100382,1010498,I,α,arm&center
780001,800001,0.3091952659224715,1021801,I,α,arm&center
800001,820001,0.3053786129108704,986194,I,α,arm&center
820001,840001,0.30413679831040874,968113,I,α,arm&center
840001,860001,0.2984071729960822,971439,I,α,arm&center
860001,880001,0.29729787594370977,983118,I,α,arm&center
880001,900001,0.30088364968988923,992581,I,α,arm&center
900001,920001,0.30465115594208186,983217,I,α,arm&center
920001,940001,0.2976756757623369,985300,I,α,arm&center
940001,960001,0.29845932827771765,994962,I,α,arm&center
960001,980001,0.3002863909389713,977618,I,α,arm&center
1,20001,0.6809089674788328,1422060,I,α,center
20001,40001,0.62241343316193,1238287,I,α,center
40001,60001,0.6007613588584136,1156827,I,α,center
60001,80001,0.5823515273016869,1146187,I,α,center
80001,100001,0.5722484970513837,1149281,I,α,center
100001,120001,0.5588700741254616,1149710,I,α,center
120001,140001,0.5473559695379597,1152288,I,α,center
140001,160001,0.5474383709983729,1111722,I,α,center
