outdir,nCO,nHet,sizeHetall,sizeHet_het,nGoutcross,cross,N
output/panelA_N400_nGoutcross4_nloci500,21.056984267192277,54,0.8332278481012658,2.4379629629629633,4,A,400
output/panelA_N400_nGoutcross4_nloci500,20.563311194730048,51,0.8490506329113925,2.630392156862745,4,A,400
output/panelA_N400_nGoutcross4_nloci500,21.156356422420455,63,1.7373417721518989,4.357142857142858,4,A,400
output/panelA_N400_nGoutcross4_nloci500,21.205486717882998,59,0.8835443037974684,2.3661016949152542,4,A,400
output/panelA_N400_nGoutcross4_nloci500,21.31781988872218,48,0.9895569620253165,3.2572916666666667,4,A,400
output/panelA_N400_nGoutcross4_nloci500,21.089300726101364,54,1.0727848101265824,3.138888888888889,4,A,400
output/panelA_N400_nGoutcross4_nloci500,20.569315813611816,58,1.0481012658227848,2.855172413793104,4,A,400
output/panelA_N400_nGoutcross4_nloci500,21.27731875560839,55,0.9775316455696202,2.808181818181818,4,A,400
output/panelA_N400_nGoutcross4_nloci500,21.111950143488585,66,1.2256329113924052,2.934090909090909,4,A,400
output/panelA_N400_nGoutcross4_nloci500,21.160199518403854,61,1.05,2.719672131147541,4,A,400
output/panelA_N400_nGoutcross4_nloci500,21.408429101148528,65,1.1075949367088609,2.6923076923076925,4,A,400
output/panelA_N400_nGoutcross4_nloci500,21.528385599240746,70,1.4357594936708862,3.2407142857142857,4,A,400
output/panelA_N400_nGoutcross4_nloci500,20.33272058674913,71,1.353481012658228,3.0119718309859156,4,A,400
output/panelA_N400_nGoutcross4_nloci500,20.878677896214413,68,1.3965189873417723,3.244852941176471,4,A,400
output/panelA_N400_nGoutcross4_nloci500,21.342452633468884,61,1.169620253164557,3.0295081967213116,4,A,400
output/panelA_N400_nGoutcross4_nloci500,21.343144188483095,60,1.281012658227848,3.3733333333333335,4,A,400
output/panelA_N400_nGoutcross4_nloci500,21.0376302440168,59,0.9629746835443038,2.578813559322034,4,A,400
output/panelA_N400_nGoutcross4_nloci500,21.743378233933033,56,1.25,3.5267857142857144,4,A,400
