"strain" "hours_to_starve" "block" "type"
"A_QG3243" 102.016666666667 "RIX3" "RIL"
"A_QG3242" 132.3 "RIX3" "RIL"
"B_QG3305" 176.416666666667 "RIX3" "RIL"
"B_QG3305" 145.483333333333 "RIX3" "RIL"
"B_QG3305" 138.233333333333 "RIX3" "RIL"
"B_QG3182" 107.733333333333 "RIX3" "RIL"
"B_QG3182" 116.633333333333 "RIX3" "RIL"
"B_QG3182" 108.483333333333 "RIX3" "RIL"
"A_QG3089" 96.9833333333333 "A1" "RIL"
"A_QG3223" 94.4 "A1" "RIL"
"A_QG3208" 172.45 "A1" "RIL"
"A_QG3134" 101.583333333333 "A1" "RIL"
"A_QG3094" 171.816666666667 "A1" "RIL"
"A_QG3091" 95.9166666666667 "A1" "RIL"
"A_QG3206" 95 "A1" "RIL"
"A_QG3089" 96.0666666666667 "A1" "RIL"
"A_QG3223" 104.483333333333 "A1" "RIL"
"A_QG3093" 116.6 "A1" "RIL"
"A_QG3134" 109.7 "A1" "RIL"
"A_QG3250" 125.783333333333 "A1" "RIL"
"A_QG3114" 95.95 "A1" "RIL"
"A_QG3091" 109.016666666667 "A1" "RIL"
"A_QG3206" 104.066666666667 "A1" "RIL"
"A_QG3089" 99.1333333333333 "A1" "RIL"
"A_QG3208" 166.6 "A1" "RIL"
"A_QG3093" 106.716666666667 "A1" "RIL"
"A_QG3134" 98.7833333333333 "A1" "RIL"
"A_QG3094" 226.966666666667 "A1" "RIL"
"A_QG3114" 94.0666666666667 "A1" "RIL"
"A_QG3091" 106.1 "A1" "RIL"
"A_QG3223" 104.633333333333 "A1" "RIL"
"A_QG3208" 205.716666666667 "A1" "RIL"
"A_QG3093" 112.783333333333 "A1" "RIL"
"A_QG3250" 111.933333333333 "A1" "RIL"
"A_QG3114" 100.133333333333 "A1" "RIL"
"A_QG3408" 93.9666666666667 "A2" "RIL"
"A_QG3132" 100.516666666667 "A2" "RIL"
"A_QG3234" 94.7333333333333 "A2" "RIL"
"A_QG3115" 114.15 "A2" "RIL"
"A_QG3142" 100.533333333333 "A2" "RIL"
"A_QG3483" 124.966666666667 "A2" "RIL"
"A_QG3092" 99.75 "A2" "RIL"
"A_QG3479" 102.183333333333 "A2" "RIL"
"A_QG3403" 122.15 "A2" "RIL"
"A_QG3408" 92.1166666666667 "A2" "RIL"
"A_QG3251" 90.7 "A2" "RIL"
"A_QG3258" 162.216666666667 "A2" "RIL"
"A_QG3403" 115.25 "A2" "RIL"
"A_QG3481" 96.4 "A2" "RIL"
"A_QG3132" 98.7333333333333 "A2" "RIL"
"A_QG3251" 100.816666666667 "A2" "RIL"
"A_QG3222" 87.25 "A2" "RIL"
"A_QG3234" 99.95 "A2" "RIL"
"A_QG3142" 100.45 "A2" "RIL"
"A_QG3483" 135.883333333333 "A2" "RIL"
"A_QG3251" 88.55 "A2" "RIL"
"A_QG3258" 153.016666666667 "A2" "RIL"
"A_QG3479" 102.116666666667 "A2" "RIL"
"A_QG3481" 101.233333333333 "A2" "RIL"
"A_QG3408" 97.05 "A2" "RIL"
