"strain" "sex" "emmean" "SE" "df" "lower.CL" "upper.CL"
"QG3086" "f" 922.40978265179 2.80104900925935 32458 916.919622745782 927.899942557798
"QG3087" "f" 1018.68329642598 4.2647114913299 32458 1010.32430379037 1027.0422890616
"QG3089" "f" 885.841603663669 3.82708225610693 32458 878.340380554034 893.342826773303
"QG3090" "f" 1055.34711754201 5.74132669440511 32458 1044.09390436341 1066.60033072062
"QG3092" "f" 883.021818667701 6.11889365799274 32458 871.028560242307 895.015077093095
"QG3095" "f" 1034.77353586091 5.741326694404 32458 1023.5203226823 1046.02674903951
"QG3096" "f" 939.575610504009 6.28183258608925 32458 927.262985738646 951.888235269373
"QG3097" "f" 818.602405947396 3.79951717347097 32458 811.155211421694 826.049600473099
"QG3100" "f" 1047.51392634964 10.3096953703802 32458 1027.30654119553 1067.72131150374
"QG3102" "f" 829.815824016594 27.3845716988001 32458 776.141048214039 883.49059981915
"QG3103" "f" 1012.24082937584 4.52847814319145 32458 1003.36484432353 1021.11681442816
"QG3104" "f" 955.495158024274 3.36758847535032 32458 948.894559760486 962.095756288063
"QG3105" "f" 952.671364987602 3.61108442702012 32458 945.593505631018 959.749224344186
"QG3106" "f" 817.796801392126 5.14457924308491 32458 807.7132353423 827.880367441953
"QG3107" "f" 966.480526115033 4.5372614111425 32458 957.587325531899 975.373726698168
"QG3109" "f" 951.380209429883 4.01181046568974 32458 943.516912180736 959.24350667903
"QG3110" "f" 962.518631246477 20.1121573551735 32458 923.098057179512 1001.93920531344
"QG3111" "f" 969.933016255637 3.75883575921291 32458 962.565558810128 977.300473701145
"QG3112" "f" 896.615303978072 3.94379186072262 32458 888.885325716425 904.345282239718
"QG3117" "f" 1027.34475328228 11.3705524175447 32458 1005.05804898485 1049.63145757971
"QG3118" "f" 932.645644683789 3.68512027815699 32458 925.422672314124 939.868617053453
"QG3120" "f" 839.144716447501 4.49385232140985 32458 830.336599289619 847.952833605384
"QG3121" "f" 1011.36652748465 4.41397693414305 32458 1002.71496904716 1020.01808592213
"QG3123" "f" 1061.29723440348 10.1123670096316 32458 1041.47662015232 1081.11784865464
"QG3124" "f" 1017.88579122852 5.54607527117571 32458 1007.01527807832 1028.75630437872
"QG3125" "f" 981.16466015934 4.55782551371035 32458 972.231153172766 990.098167145914
"QG3126" "f" 1006.89517150841 5.04509519818998 32458 997.006597874912 1016.78374514191
"QG3127" "f" 1040.84833460491 5.02505280952055 32458 1030.99904479627 1050.69762441355
"QG3128" "f" 913.625964403791 5.32269806211807 32458 903.19327886497 924.058649942612
"QG3130" "f" 974.798986981943 7.37773094683313 32458 960.338360799494 989.259613164393
"QG3134" "f" 1078.38322512957 7.96234545243662 32458 1062.77673284177 1093.98971741737
"QG3135" "f" 997.616646693543 3.63832147608236 32458 990.485401710994 1004.74789167609
"QG3136" "f" 947.49999569462 4.72450910185542 32458 938.239782695549 956.760208693691
"QG3138" "f" 874.067911289811 5.46732065888542 32458 863.351760099497 884.784062480126
"QG3139" "f" 1009.31127620376 4.15732043701669 32458 1001.16277401608 1017.45977839143
"QG3140" "f" 936.115097601974 4.18656485286366 32458 927.909275275012 944.320919928936
"QG3141" "f" 981.097909706549 3.76213001549815 32458 973.723995396588 988.47182401651
"QG3181" "f" 1029.81723769375 11.7534735657134 32458 1006.77999374925 1052.85448163825
"QG3183" "f" 1026.24123860866 6.89037341133887 32458 1012.73585126438 1039.74662595294
"QG3197" "f" 994.759760566566 7.01723589563146 32458 981.005718049692 1008.51380308344
"QG3205" "f" 857.229115790756 4.43561978112789 32458 848.535136570776 865.923095010736
"QG3207" "f" 926.34402522272 7.37549979819752 32458 911.887772174315 940.800278271125
"QG3211" "f" 934.152109767092 13.0578505755477 32458 908.558238524019 959.745981010165
"QG3212" "f" 892.182183765904 3.70530106286505 32458 884.919656310016 899.444711221791
"QG3214" "f" 937.553269609234 8.96195571221065 32458 919.987504152095 955.119035066374
"QG3215" "f" 917.33217650827 3.06541563092554 32458 911.323848222501 923.340504794039
"QG3217" "f" 1081.08159387283 7.96234545243582 32458 1065.47510158504 1096.68808616063
"QG3219" "f" 970.104370049456 5.66273767445511 32458 959.005194263611 981.203545835301
"QG3220" "f" 924.513766560937 4.57856982250504 32458 915.539599960038 933.487933161837
"QG3221" "f" 968.916900084007 4.86856868676912 32458 959.374324957549 978.459475210465
"QG3224" "f" 986.949436224667 6.48329470393766 32458 974.241938239187 999.656934210148
"QG3225" "f" 1076.55466755321 9.20159455333319 32458 1058.51920108295 1094.59013402347
"QG3226" "f" 881.018910112304 3.56012807078005 32458 874.040927103138 887.996893121469
"QG3227" "f" 953.939413713349 6.65964060311775 32458 940.886271227516 966.992556199182
"QG3231" "f" 942.114737660709 4.11262675685138 32458 934.053836743158 950.175638578259
"QG3232" "f" 844.631809062456 4.13905356701251 32458 836.519110617226 852.744507507687
"QG3233" "f" 995.729808921185 5.33765036912192 32458 985.267816306285 1006.19180153608
"QG3235" "f" 1040.14848235225 9.75006677343716 32458 1021.03798999618 1059.25897470832
"QG3236" "f" 831.978342725654 4.11851199228141 32458 823.905906528467 840.05077892284
"QG3237" "f" 943.451953948651 5.54148757323852 32458 932.590432856493 954.313475040809
"QG3238" "f" 967.304866347402 5.20414621246934 32458 957.104546829159 977.505185865646
"QG3239" "f" 875.708433106425 4.31574344918212 32458 867.24941594143 884.167450271421
"QG3241" "f" 827.750692274218 3.76802084550217 32458 820.365231719049 835.136152829387
"QG3242" "f" 1004.20554710095 4.86856868676923 32458 994.662971974494 1013.74812222741
"QG3246" "f" 1023.27969780751 4.55782551370915 32458 1014.34619082094 1032.21320479408
"QG3248" "f" 841.098472988939 4.83755494249014 32458 831.616685951091 850.580260026787
"QG3249" "f" 866.060780515015 5.03347495493733 32458 856.194982989108 875.926578040922
"QG3252" "f" 857.805553296908 3.97336281561777 32458 850.017614867334 865.593491726481
"QG3254" "f" 991.531753469583 7.54187306201965 32458 976.749402655859 1006.31410428331
"QG3255" "f" 1032.22800079053 5.1288344633274 32458 1022.17529509276 1042.2807064883
"QG3257" "f" 968.200708520992 5.56734226178888 32458 957.288511280723 979.112905761262
"QG3258" "f" 966.340508377068 6.75803795528813 32458 953.094503432936 979.586513321201
"QG3262" "f" 1019.60885310411 12.4738223585705 32458 995.15969881894 1044.05800738927
"QG3265" "f" 1013.17178960939 5.45994939790998 32458 1002.47008636387 1023.8734928549
"QG3266" "f" 935.891266858764 4.27359288936703 32458 927.514866353722 944.267667363805
"QG3267" "f" 1068.67379854388 10.7424759054125 32458 1047.61814749594 1089.72944959183
"QG3282" "f" 1009.17067197327 13.225267627144 32458 983.24865710214 1035.09268684439
"QG3301" "f" 1034.01814578975 5.6596050762383 32458 1022.92511001255 1045.11118156695
"QG3312" "f" 1074.0021637845 9.6866360343382 32458 1055.01599802874 1092.98832954027
"QG3316" "f" 1052.01011666596 11.9109268172294 32458 1028.66425851096 1075.35597482095
"QG3321" "f" 1031.47020420482 4.78720291616434 32458 1022.08710900535 1040.85329940429
"QG3324" "f" 952.962925546208 11.1061425303962 32458 931.194474430489 974.731376661928
"QG3327" "f" 788.115669665144 4.86960809998229 32458 778.571057250252 797.660282080035
"QG3331" "f" 908.708076161554 8.78684538828152 32458 891.485533431466 925.930618891641
"QG3333" "f" 1034.22253935258 4.87904479225339 32458 1024.65943067097 1043.78564803418
"QG3334" "f" 922.268934716128 3.54748428950676 32458 915.315733987021 929.222135445234
"QG3335" "f" 966.661353184371 4.61562965163306 32458 957.614547944402 975.708158424341
"QG3336" "f" 1023.53275929827 4.46001504398808 32458 1014.79096445864 1032.2745541379
"QG3337" "f" 999.423865719883 4.09404187784568 32458 991.399391854211 1007.44833958555
"QG3344" "f" 904.934462156655 4.28833909725859 32458 896.529158537436 913.339765775874
"QG3346" "f" 916.551210409224 4.40579871249414 32458 907.915681589371 925.186739229076
"QG3347" "f" 1069.18896275984 10.112367009633 32458 1049.36834850868 1089.009577011
"QG3354" "f" 1022.23135480032 5.4814900123251 32458 1011.48743115194 1032.9752784487
"QG3371" "f" 1072.9433036228 19.3515201276393 32458 1035.01360672215 1110.87300052346
"QG3380" "f" 934.276597543986 4.84873003179775 32458 924.772906916783 943.780288171189
"QG3381" "f" 1025.53362414533 5.05679902514924 32458 1015.62211057708 1035.44513771358
"QG3383" "f" 939.160312944186 3.59168877565863 32458 932.120469783357 946.200156105015
"QG3385" "f" 1087.89764211402 15.1422558733244 32458 1058.21825920875 1117.5770250193
"QG3387" "f" 968.07189978315 4.91465935039294 32458 958.438985247195 977.704814319105
"QG3391" "f" 1054.52111935739 8.86312327728485 32458 1037.14906913688 1071.8931695779
"QG3392" "f" 922.289273474661 3.51132427793358 32458 915.406947708857 929.171599240464
"QG3394" "f" 822.792046998102 5.1535623247816 32458 812.690873775105 832.893220221098
"QG3395" "f" 1031.09094629764 6.08315119152679 32458 1019.16774443165 1043.01414816362
"QG3397" "f" 925.443449714462 3.0544544358586 32458 919.456605777407 931.430293651518
"QG3400" "f" 989.468837709633 3.80000630647289 32458 982.020684465112 996.916990954154
"QG3403" "f" 1041.69804471553 6.85972657839181 32458 1028.25272630005 1055.14336313101
"QG3410" "f" 968.164467726634 5.20414621246855 32458 957.964148208392 978.364787244876
"QG3456" "f" 1105.76119529917 9.83690569661049 32458 1086.48049543416 1125.04189516418
"QG3457" "f" 953.07933154887 3.7392346173357 32458 945.750293068146 960.408370029594
"QG3458" "f" 1066.73151530894 15.8423703568843 32458 1035.6798820594 1097.78314855848
"QG3463" "f" 1000.38773247759 3.80000630647319 32458 992.939579233068 1007.83588572211
"QG3464" "f" 1029.04797813955 5.92371110165887 32458 1017.43728476089 1040.65867151821
"QG3470" "f" 898.877448373212 4.5158096257586 32458 890.026294084747 907.728602661677
"QG3473" "f" 938.262695014916 4.17282193629658 32458 930.083809313939 946.441580715893
"QG3483" "f" 1033.12136580423 3.33859565598241 32458 1026.5775945413 1039.66513706716
"QG3488" "f" 932.290125454664 6.34920862988509 32458 919.845441145518 944.734809763809
"QG3494" "f" 995.026296633379 4.15921473486118 32458 986.874081551697 1003.17851171506
"QG3502" "f" 971.287225091963 8.30525373107655 32458 955.008619864831 987.565830319096
"QG3509" "f" 1007.86878659641 4.25163261103119 32458 999.535429051072 1016.20214414174
"QG3510" "f" 1002.51694291985 4.08560543351878 32458 994.509004797837 1010.52488104186
"QG3086" "m" 724.019651880155 6.97379223334313 32458 710.350760552024 737.688543208285
"QG3087" "m" 762.692031456114 7.02667670059203 32458 748.919484611503 776.464578300724
"QG3089" "m" 743.064954884161 6.11033837338877 32458 731.088465133775 755.041444634547
"QG3090" "m" 771.295539341473 14.0149058618813 32458 743.825804254714 798.765274428232
"QG3092" "m" 688.151091970708 12.929352265088 32458 662.809082180164 713.493101761253
"QG3095" "m" 819.014828511965 11.274803231123 32458 796.915796169788 841.113860854142
"QG3096" "m" 749.64012302211 9.04367087456507 32458 731.914192817196 767.366053227023
"QG3097" "m" 716.344141506298 8.17208283121746 32458 700.326556180151 732.361726832444
"QG3100" "m" 785.69353394984 21.9554632825238 32458 742.660011925381 828.727055974299
"QG3102" "m" 640.039639815681 41.8575723227776 32458 557.997246208963 722.082033422398
"QG3103" "m" 751.804403475916 9.87339221381415 32458 732.452188684461 771.156618267371
"QG3104" "m" 727.562007374571 8.44177794941845 32458 711.015809617903 744.108205131238
"QG3105" "m" 738.119490046384 6.93493421891321 32458 724.526761867183 751.712218225585
"QG3106" "m" 684.49773274501 13.2158155435702 32458 658.59424430812 710.4012211819
"QG3107" "m" 769.176889391228 8.5574607426456 32458 752.403949070938 785.949829711518
"QG3109" "m" 740.67270630413 8.07127961023482 32458 724.852699028351 756.492713579908
"QG3110" "m" 733.985414795214 21.0322236265127 32458 692.761476725307 775.209352865122
"QG3111" "m" 762.785962670779 8.41579202417416 32458 746.290698291009 779.28122705055
"QG3112" "m" 711.830805912059 13.4417037071566 32458 685.484568299819 738.177043524298
"QG3117" "m" 732.271927712302 20.2181188517596 32458 692.643665183545 771.900190241058
"QG3118" "m" 750.777163571244 13.2158155435672 32458 724.87367513436 776.680652008128
"QG3120" "m" 706.313485100398 7.92689564705848 32458 690.776475745428 721.850494455368
"QG3121" "m" 738.660648881789 16.1855257093181 32458 706.936418419123 770.384879344455
"QG3122" "m" 731.196663872887 32.5706480446658 32458 667.356986160565 795.036341585209
"QG3123" "m" 776.769399207946 17.2288129016435 32458 743.000287168834 810.538511247058
"QG3124" "m" 784.17376880405 10.0605774356125 32458 764.454664038048 803.892873570053
"QG3125" "m" 710.871108874569 12.3315810555853 32458 686.700752816797 735.041464932341
"QG3126" "m" 719.585038383667 14.2786650418654 32458 691.598325525365 747.571751241969
"QG3127" "m" 773.121926968727 14.7771399607483 32458 744.15818478864 802.085669148813
"QG3128" "m" 715.415981965241 8.73494811585645 32458 698.295159813179 732.536804117304
"QG3130" "m" 750.582957004399 12.8272705494622 32458 725.441031161123 775.724882847675
"QG3134" "m" 797.662075330652 11.2163723743891 32458 775.677569633976 819.646581027329
"QG3135" "m" 746.183631917441 16.1855257093192 32458 714.459401454772 777.907862380109
"QG3136" "m" 741.525533638201 7.66014952166709 32458 726.511356578512 756.53971069789
"QG3138" "m" 732.474881379772 12.8879948793448 32458 707.213933598594 757.73582916095
"QG3139" "m" 736.453863067049 10.5585665600015 32458 715.75868115448 757.149044979617
"QG3140" "m" 715.557446180577 11.4646896613961 32458 693.086229395095 738.028662966059
"QG3141" "m" 777.473212379822 5.7835612542965 32458 766.137217897998 788.809206861646
"QG3181" "m" 838.36826423946 10.6083686841961 32458 817.575468317075 859.161060161845
"QG3183" "m" 801.017579220082 8.71284123468012 32458 783.940087374731 818.095071065434
"QG3197" "m" 779.848903088671 8.53451705780176 32458 763.120933241304 796.576872936039
"QG3205" "m" 694.475770229242 16.2581689241482 32458 662.609156372288 726.342384086195
"QG3207" "m" 732.277203506435 11.74415709908 32458 709.25822018194 755.296186830929
"QG3211" "m" 721.546410842019 36.2696712244432 32458 650.456510557412 792.636311126627
"QG3212" "m" 730.641471312268 6.43496713442753 32458 718.028697154755 743.254245469782
"QG3214" "m" 704.132407750827 17.6567829148342 32458 669.52445861903 738.740356882624
"QG3215" "m" 729.417367461759 6.83548232965196 32458 716.019568672652 742.815166250866
"QG3217" "m" 787.284372997256 11.0863082120396 32458 765.554797880865 809.013948113646
"QG3219" "m" 747.172239885023 18.7008760234779 32458 710.517829550917 783.826650219129
"QG3220" "m" 705.426526200491 13.0009481923676 32458 679.944185738086 730.908866662896
"QG3221" "m" 781.235225037801 11.5480675334877 32458 758.600584531816 803.869865543787
"QG3224" "m" 764.21373780365 11.0590078083868 32458 742.537672490572 785.889803116729
"QG3225" "m" 792.09038730107 12.1398730839765 32458 768.295785975154 815.884988626986
"QG3226" "m" 718.30553277834 5.58797677278976 32458 707.352891131492 729.258174425188
"QG3227" "m" 754.917557136203 10.5797447356057 32458 734.180865214277 775.654249058128
"QG3231" "m" 738.255967467258 9.78365808297123 32458 719.079634899115 757.432300035401
"QG3232" "m" 710.330904493662 10.2589020090106 32458 690.223076210989 730.438732776336
"QG3233" "m" 801.632522449903 13.0912745055502 32458 775.973139064846 827.291905834961
"QG3235" "m" 768.630639459175 15.282714724754 32458 738.675951997639 798.58532692071
"QG3236" "m" 663.019603948535 11.7428368604851 32458 640.003208340633 686.035999556436
"QG3237" "m" 762.834218130036 9.43452805153268 32458 744.34219336738 781.326242892692
"QG3238" "m" 761.950082613229 7.23056551109007 32458 747.77790614094 776.122259085518
"QG3239" "m" 735.547902025015 6.70523336928199 32458 722.405396027166 748.690408022865
"QG3241" "m" 707.030683132001 6.61026601712034 32458 694.074316665268 719.987049598734
"QG3242" "m" 771.187128829729 18.7521070488474 32458 734.432303786528 807.94195387293
"QG3246" "m" 800.026063900214 20.9512524870688 32458 758.960832265592 841.091295534836
"QG3248" "m" 705.481543870608 14.2786650418615 32458 677.494831012313 733.468256728903
"QG3249" "m" 719.298285615722 13.0912745055512 32458 693.638902230662 744.957669000781
"QG3252" "m" 693.319417969228 7.35113484330994 32458 678.910921135724 707.727914802732
"QG3254" "m" 750.395691344095 14.1487047361607 32458 722.663705503204 778.127677184986
"QG3255" "m" 764.361528466199 14.0149058618822 32458 736.891793379438 791.83126355296
"QG3257" "m" 755.520816108953 9.49351673459339 32458 736.913171340514 774.128460877391
"QG3258" "m" 743.637542250775 12.0023232331624 32458 720.112543732065 767.162540769486
"QG3262" "m" 777.733134569389 15.9766753409337 32458 746.418258571807 809.048010566971
"QG3265" "m" 778.87703018785 16.5208315325621 32458 746.495587880286 811.258472495415
"QG3266" "m" 762.359966826428 13.7654620872583 32458 735.379150785966 789.34078286689
"QG3267" "m" 810.807604088638 15.9766753409312 32458 779.49272809106 842.122480086216
"QG3282" "m" 779.260551743093 21.8478543429888 32458 736.437947229684 822.083156256502
"QG3301" "m" 770.223230879161 10.8393469097964 32458 748.977709071167 791.468752687156
"QG3312" "m" 742.169263327861 14.5129528664323 32458 713.723337647273 770.615189008449
"QG3316" "m" 793.709480730226 15.1277143283468 32458 764.058599792231 823.360361668222
"QG3321" "m" 794.073000399906 12.3315810555883 32458 769.902644342128 818.243356457684
"QG3324" "m" 718.108963637719 25.7028808830661 32458 667.73036418207 768.487563093368
"QG3327" "m" 701.985669005663 15.432384136027 32458 671.737623949094 732.233714062233
"QG3331" "m" 660.884395345445 29.7694506170155 32458 602.53516844468 719.23362224621
"QG3333" "m" 791.21086284822 15.8699308458157 32458 760.105210018582 822.316515677858
"QG3334" "m" 734.33114151159 8.53878244523676 32458 717.594811346713 751.067471676468
"QG3335" "m" 766.921149777557 7.13393771684433 32458 752.938367364429 780.903932190684
"QG3336" "m" 799.222654370127 9.00366358074228 32458 781.575139944362 816.870168795892
"QG3337" "m" 790.004873725823 7.38126993255756 32458 775.537311000147 804.4724364515
"QG3344" "m" 713.928358512339 10.0387827342158 32458 694.251972169105 733.604744855574
"QG3346" "m" 691.774913058765 12.2356477986055 32458 667.792589741364 715.757236376166
"QG3347" "m" 818.327008083038 11.5569424462187 32458 795.674972419065 840.97904374701
"QG3354" "m" 773.39558670504 7.42171267997209 32458 758.848754695031 787.942418715049
"QG3371" "m" 812.154506340708 18.1245406730914 32458 776.62973466078 847.679278020635
"QG3380" "m" 768.425616615993 9.7836580829698 32458 749.249284047853 787.601949184132
"QG3381" "m" 786.537683437364 14.8550101233019 32458 757.421312851665 815.654054023064
"QG3383" "m" 732.31839631534 6.84324822671236 32458 718.905376080077 745.731416550603
"QG3385" "m" 707.169683391216 36.2696712244404 32458 636.079783106615 778.259583675818
"QG3387" "m" 744.691565437438 9.78365808297074 32458 725.515232869297 763.86789800558
"QG3391" "m" 815.034627950601 14.1356653970015 32458 787.328199697891 842.741056203311
"QG3392" "m" 737.332396109549 6.09623997449941 32458 725.383539743679 749.281252475419
"QG3394" "m" 687.320932405937 10.8997990848658 32458 665.956922093565 708.68494271831
"QG3395" "m" 768.020279356296 13.7008209241634 32458 741.166162392047 794.874396320544
"QG3397" "m" 711.121802753936 6.58862374945984 32458 698.207855934196 724.035749573675
"QG3400" "m" 754.01266716168 8.77907435186859 32458 736.80535595107 771.219978372289
