rilname,panel,lib,file1,file2,strain_type
QG3086,alpha,HFTY3DMXY,HFTY3DMXY_n01_BCi.QG3086.fastq.gz,HFTY3DMXY_n02_BCi.QG3086.fastq.gz,ContinuousSibmating
QG3087,alpha,HFTY3DMXY,HFTY3DMXY_n01_BCi.QG3087.fastq.gz,HFTY3DMXY_n02_BCi.QG3087.fastq.gz,ContinuousSibmating
QG3089,alpha,HF753DRX7,HF753DRX7_n01_QG3089_TP25.fastq.gz,HF753DRX7_n02_QG3089_TP25.fastq.gz,ContinuousSibmating
QG3090,alpha,HFTY3DMXY,HFTY3DMXY_n01_BCi.QG3090.fastq.gz,HFTY3DMXY_n02_BCi.QG3090.fastq.gz,RestoredFromBackup
QG3091,alpha,HFTY3DMXY,HFTY3DMXY_n01_BCi.QG3091.fastq.gz,HFTY3DMXY_n02_BCi.QG3091.fastq.gz,ContinuousSibmating
QG3092,alpha,HFTY3DMXY,HFTY3DMXY_n01_BCi.QG3092.fastq.gz,HFTY3DMXY_n02_BCi.QG3092.fastq.gz,ContinuousSibmating
QG3093,alpha,HMJVKBGX7,HMJVKBGX7_n01_QG3093.fastq.gz,HMJVKBGX7_n02_QG3093.fastq.gz,ContinuousSibmating
QG3094,alpha,HMJVKBGX7,HMJVKBGX7_n01_QG3094.fastq.gz,HMJVKBGX7_n02_QG3094.fastq.gz,ContinuousSibmating
QG3095,alpha,H2L2LDSXC,H2L2LDSXC_l01_n01_A_QG3095.fastq.gz,H2L2LDSXC_l01_n02_A_QG3095.fastq.gz,ContinuousSibmating
QG3096,alpha,H2L2LDSXC,H2L2LDSXC_l01_n01_A_QG3096.fastq.gz,H2L2LDSXC_l01_n02_A_QG3096.fastq.gz,RestoredFromBackup
QG3097,alpha,HMJVKBGX7,HMJVKBGX7_n01_QG3097.fastq.gz,HMJVKBGX7_n02_QG3097.fastq.gz,ContinuousSibmating
QG3100,alpha,HMJVKBGX7,HMJVKBGX7_n01_QG3100.fastq.gz,HMJVKBGX7_n02_QG3100.fastq.gz,ContinuousSibmating
QG3101,alpha,HMJVKBGX7,HMJVKBGX7_n01_QG3101.fastq.gz,HMJVKBGX7_n02_QG3101.fastq.gz,ContinuousSibmating
QG3102,alpha,H53C5BGXJ,H53C5BGXJ_n01_3QG3102.fastq.gz,H53C5BGXJ_n02_3QG3102.fastq.gz,RestoredFromBackup
QG3103,alpha,HMJVKBGX7,HMJVKBGX7_n01_QG3103.fastq.gz,HMJVKBGX7_n02_QG3103.fastq.gz,RestoredFromBackup
QG3104,alpha,HMJVKBGX7,HMJVKBGX7_n01_QG3104.fastq.gz,HMJVKBGX7_n02_QG3104.fastq.gz,RestoredFromBackup
QG3105,alpha,HMJVKBGX7,HMJVKBGX7_n01_QG3105.fastq.gz,HMJVKBGX7_n02_QG3105.fastq.gz,RestoredFromBackup
QG3106,alpha,HMJVKBGX7,HMJVKBGX7_n01_QG3106.fastq.gz,HMJVKBGX7_n02_QG3106.fastq.gz,RestoredFromBackup
QG3107,alpha,HMJVKBGX7,HMJVKBGX7_n01_QG3107.fastq.gz,HMJVKBGX7_n02_QG3107.fastq.gz,ContinuousSibmating
QG3109,alpha,HMJVKBGX7,HMJVKBGX7_n01_QG3109.fastq.gz,HMJVKBGX7_n02_QG3109.fastq.gz,RestoredFromBackup
QG3110,alpha,H53C5BGXJ,H53C5BGXJ_n01_3QG3110.fastq.gz,H53C5BGXJ_n02_3QG3110.fastq.gz,ContinuousSibmating
QG3111,alpha,HMJVKBGX7,HMJVKBGX7_n01_QG3111.fastq.gz,HMJVKBGX7_n02_QG3111.fastq.gz,RestoredFromBackup
QG3112,alpha,HMJVKBGX7,HMJVKBGX7_n01_QG3112.fastq.gz,HMJVKBGX7_n02_QG3112.fastq.gz,ContinuousSibmating
QG3113,alpha,HMJVKBGX7,HMJVKBGX7_n01_QG3113.fastq.gz,HMJVKBGX7_n02_QG3113.fastq.gz,RestoredFromBackup
QG3114,alpha,H53C5BGXJ,H53C5BGXJ_n01_3QG3114.fastq.gz,H53C5BGXJ_n02_3QG3114.fastq.gz,ContinuousSibmating
QG3115,alpha,HMJVKBGX7,HMJVKBGX7_n01_QG3115.fastq.gz,HMJVKBGX7_n02_QG3115.fastq.gz,ContinuousSibmating
QG3116,alpha,HF753DRX7,HF753DRX7_n01_QG3116_TP25.fastq.gz,HF753DRX7_n02_QG3116_TP25.fastq.gz,ContinuousSibmating
QG3117,alpha,H2L2LDSXC,H2L2LDSXC_l01_n01_A_QG3117.fastq.gz,H2L2LDSXC_l01_n02_A_QG3117.fastq.gz,RestoredFromBackup
QG3118,alpha,H2L2LDSXC,H2L2LDSXC_l01_n01_A_QG3118.fastq.gz,H2L2LDSXC_l01_n02_A_QG3118.fastq.gz,RestoredFromBackup
QG3119,alpha,H2L2LDSXC,H2L2LDSXC_l01_n01_A_QG3119.fastq.gz,H2L2LDSXC_l01_n02_A_QG3119.fastq.gz,ContinuousSibmating
QG3120,alpha,H2L2LDSXC,H2L2LDSXC_l01_n01_A_QG3120.fastq.gz,H2L2LDSXC_l01_n02_A_QG3120.fastq.gz,ContinuousSibmating
QG3121,alpha,H2L2LDSXC,H2L2LDSXC_l01_n01_A_QG3121.fastq.gz,H2L2LDSXC_l01_n02_A_QG3121.fastq.gz,ContinuousSibmating
QG3122,alpha,H2L2LDSXC,H2L2LDSXC_l01_n01_A_QG3122.fastq.gz,H2L2LDSXC_l01_n02_A_QG3122.fastq.gz,ContinuousSibmating
QG3123,alpha,H53C5BGXJ,H53C5BGXJ_n01_3QG3123.fastq.gz,H53C5BGXJ_n02_3QG3123.fastq.gz,ContinuousSibmating
QG3124,alpha,H2L2LDSXC,H2L2LDSXC_l01_n01_A_QG3124.fastq.gz,H2L2LDSXC_l01_n02_A_QG3124.fastq.gz,ContinuousSibmating
QG3125,alpha,H2L2LDSXC,H2L2LDSXC_l01_n01_A_QG3125.fastq.gz,H2L2LDSXC_l01_n02_A_QG3125.fastq.gz,ContinuousSibmating
QG3126,alpha,HGV55BGXJ,HGV55BGXJ_n01_4QG3126.fastq.gz,HGV55BGXJ_n02_4QG3126.fastq.gz,RestoredFromBackup
QG3127,alpha,H2L2LDSXC,H2L2LDSXC_l01_n01_A_QG3127.fastq.gz,H2L2LDSXC_l01_n02_A_QG3127.fastq.gz,RestoredFromBackup
QG3128,alpha,H2L2LDSXC,H2L2LDSXC_l01_n01_A_QG3128.fastq.gz,H2L2LDSXC_l01_n02_A_QG3128.fastq.gz,ContinuousSibmating
QG3129,alpha,H2L2LDSXC,H2L2LDSXC_l01_n01_A_QG3129.fastq.gz,H2L2LDSXC_l01_n02_A_QG3129.fastq.gz,RestoredFromBackup
QG3130,alpha,H2L2LDSXC,H2L2LDSXC_l01_n01_A_QG3130.fastq.gz,H2L2LDSXC_l01_n02_A_QG3130.fastq.gz,RestoredFromBackup
QG3132,alpha,H2L2LDSXC,H2L2LDSXC_l01_n01_A_QG3132.fastq.gz,H2L2LDSXC_l01_n02_A_QG3132.fastq.gz,RestoredFromBackup
QG3134,alpha,H2L2LDSXC,H2L2LDSXC_l01_n01_A_QG3134.fastq.gz,H2L2LDSXC_l01_n02_A_QG3134.fastq.gz,RestoredFromBackup
QG3135,alpha,H2L2LDSXC,H2L2LDSXC_l01_n01_A_QG3135.fastq.gz,H2L2LDSXC_l01_n02_A_QG3135.fastq.gz,ContinuousSibmating
QG3136,alpha,H2L2LDSXC,H2L2LDSXC_l01_n01_A_QG3136.fastq.gz,H2L2LDSXC_l01_n02_A_QG3136.fastq.gz,ContinuousSibmating
QG3137,alpha,H2L2LDSXC,H2L2LDSXC_l01_n01_A_QG3137.fastq.gz,H2L2LDSXC_l01_n02_A_QG3137.fastq.gz,ContinuousSibmating
QG3138,alpha,H2L2LDSXC,H2L2LDSXC_l01_n01_A_QG3138.fastq.gz,H2L2LDSXC_l01_n02_A_QG3138.fastq.gz,ContinuousSibmating
QG3139,alpha,H2L2LDSXC,H2L2LDSXC_l01_n01_A_QG3139.fastq.gz,H2L2LDSXC_l01_n02_A_QG3139.fastq.gz,ContinuousSibmating
QG3140,alpha,H2L2LDSXC,H2L2LDSXC_l01_n01_A_QG3140.fastq.gz,H2L2LDSXC_l01_n02_A_QG3140.fastq.gz,ContinuousSibmating
QG3141,alpha,H2L2LDSXC,H2L2LDSXC_l01_n01_A_QG3141.fastq.gz,H2L2LDSXC_l01_n02_A_QG3141.fastq.gz,ContinuousSibmating
QG3142,alpha,H2L2LDSXC,H2L2LDSXC_l01_n01_A_QG3142.fastq.gz,H2L2LDSXC_l01_n02_A_QG3142.fastq.gz,RestoredFromBackup
QG3143,beta,H2L2LDSXC,H2L2LDSXC_l01_n01_B_QG3143.fastq.gz,H2L2LDSXC_l01_n02_B_QG3143.fastq.gz,ContinuousSibmating
QG3144,beta,H2L2LDSXC,H2L2LDSXC_l01_n01_B_QG3144.fastq.gz,H2L2LDSXC_l01_n02_B_QG3144.fastq.gz,ContinuousSibmating
QG3145,beta,H2L2LDSXC,H2L2LDSXC_l01_n01_B_QG3145.fastq.gz,H2L2LDSXC_l01_n02_B_QG3145.fastq.gz,RestoredFromBackup
QG3146,beta,H2L2LDSXC,H2L2LDSXC_l01_n01_B_QG3146.fastq.gz,H2L2LDSXC_l01_n02_B_QG3146.fastq.gz,ContinuousSibmating
QG3147,beta,H2L2LDSXC,H2L2LDSXC_l01_n01_B_QG3147.fastq.gz,H2L2LDSXC_l01_n02_B_QG3147.fastq.gz,ContinuousSibmating
