"chrom" "gpos" "ppos"
"297" "I" 0 2673
"298" "I" 1.25944238128124 438947
"299" "I" 1.73332011839016 474544
"300" "I" 2.71080251276914 637169
"301" "I" 3.43572461658004 666219
"302" "I" 4.16064672042537 689967
"303" "I" 5.13812882271832 773205
"304" "I" 5.61707747398525 869718
"305" "I" 6.09602597728614 904073
"306" "I" 7.07477884664012 1045270
"307" "I" 7.55372749710121 1067129
"308" "I" 8.03009179695217 1141040
"309" "I" 9.51741207860999 1189262
"310" "I" 9.99377663915983 1241545
"311" "I" 10.4681466214697 1494750
"312" "I" 12.3473738157953 1581558
"313" "I" 12.9391963122876 1620401
"314" "I" 13.9147768471841 1647578
"315" "I" 14.8909740700207 1748539
"316" "I" 15.3648116811499 1793628
"317" "I" 16.8521321056714 1902299
"318" "I" 17.3284962615827 2176398
"319" "I" 17.8099720459343 2291468
"320" "I" 18.2863362018495 2381813
"321" "I" 19.7736564835429 2446933
"322" "I" 20.250020779128 2512526
"323" "I" 20.7289697271599 2545007
"324" "I" 21.7051668839821 2648279
"325" "I" 22.6788077268489 2727130
"326" "I" 23.655004883688 2831056
"327" "I" 24.1339535406115 2923874
"328" "I" 24.6154291777955 2983851
"329" "I" 25.0917933337199 3359219
"330" "I" 26.5791136154098 3439289
"331" "I" 27.0554777713424 3494938
"332" "I" 27.5369532646249 3629986
"333" "I" 28.0184284668207 3658017
"334" "I" 28.4999036690331 8904398
"335" "I" 28.9813788712455 9154674
"336" "I" 29.4628540734579 9183000
"337" "I" 29.9443292756703 9204047
"338" "I" 30.4258044778826 9340167
"339" "I" 30.907279680095 9522626
"340" "I" 31.3887548823074 9575495
"341" "I" 31.8702300845198 9853713
"342" "I" 32.3517052867323 9938096
"343" "I" 32.8331804889364 10408893
"344" "I" 33.3146558350672 10629677
"345" "I" 33.7936041944581 10712428
"346" "I" 34.7723570638452 10767450
"347" "I" 35.2513055671544 10793578
"348" "I" 35.7302540704637 10872874
"349" "I" 36.7090069398508 10941256
"350" "I" 37.1879552992335 11039338
"351" "I" 37.6694307892827 11226604
"352" "I" 38.1483791486653 11275607
"353" "I" 39.1271320180608 11329387
"354" "I" 39.606080377435 11392970
"355" "I" 40.0875560146097 11419175
"356" "I" 40.5639206322047 11463284
"357" "I" 42.048654354388 11534183
"358" "I" 43.0222371811428 11558996
"359" "I" 43.5011862788164 11752064
"360" "I" 43.9802662888284 11929739
"361" "I" 44.9331390253771 12036345
"362" "I" 45.4098433748165 12069525
"363" "I" 46.3600329577369 12098551
"364" "I" 46.3600332858528 12115249
"365" "I" 47.3362298674848 12128220
"366" "I" 47.815203380522 12508475
"367" "I" 48.2966787252201 12522217
"368" "I" 48.7781539274243 12683445
"369" "I" 49.2596291289217 12862204
"370" "I" 49.7411168850476 13086334
"371" "I" 50 13278694
"152" "II" 0 41566
"153" "II" 0.287279320011913 371765
"154" "II" 0.287279369143704 621995
"155" "II" 1.36733749711633 831816
"156" "II" 2.44742426725155 855545
"157" "II" 3.53031877991311 968070
"158" "II" 4.05594620277921 1107050
"159" "II" 5.70582874855563 1165238
"160" "II" 6.2342590238197 1213236
"161" "II" 6.7655564346912 1269528
"162" "II" 7.84854646389233 1330027
"163" "II" 8.91273092321853 1376333
"164" "II" 9.43854648909224 1411839
"165" "II" 11.069266813822 1527074
"166" "II" 11.5977944588095 1547597
"167" "II" 12.129091545223 1576178
"168" "II" 13.2148207830973 1636507
"169" "II" 13.7461175521619 1769387
"170" "II" 14.2802176638662 1874158
"171" "II" 14.8115144329307 1936986
"172" "II" 15.8972436708234 2261320
"173" "II" 16.4285404398971 2398511
"174" "II" 16.9626403919529 2444876
