nsnp,ppos1,ppos2,gpos1,gpos2,chrom,founder1,founder2
11725,1053937,1829014,7.26467993788612,15.849120471371,I,FA.g1,FA.g2
980,2916751,3004928,24.0971982637981,24.642177135305,I,FA.g1,FA.g2
433,11930278,12001960,43.9850840139564,44.6257967646579,I,FA.g1,FA.g2
1259,727281,815456,4.59883321175096,5.3478006748489,I,FA.g1,FM.g1
2843,880037,1022812,5.76093628945787,6.91910392479368,I,FA.g1,FM.g1
553,1127153,1216198,7.94058859672446,9.76283326337312,I,FA.g1,FM.g1
2256,1434604,1561742,10.3554653673238,11.9183953105567,I,FA.g1,FM.g1
4975,2009662,2276923,17.0387212025711,17.749112870794,I,FA.g1,FM.g1
490,11930278,12041007,43.9850840139564,45.0001190035895,I,FA.g1,FM.g1
3777,12478098,12610595,47.7769401666115,48.5606019607648,I,FA.g1,FM.g1
1609,593923,682750,2.45086582635983,3.94034341810721,I,FA.g2,FM.g1
553,1127153,1216198,7.94058859672446,9.76283326337312,I,FA.g2,FM.g1
2256,1434604,1561742,10.3554653673238,11.9183953105567,I,FA.g2,FM.g1
6083,2139993,2530801,17.2652270154492,20.5194949956017,I,FA.g2,FM.g1
473,11927478,12001960,43.9741697648231,44.6257967646579,I,FA.g2,FM.g1
1259,727281,815456,4.59883321175096,5.3478006748489,I,FA.g1,FM.g2
2843,880037,1022812,5.76093628945787,6.91910392479368,I,FA.g1,FM.g2
553,1127153,1216198,7.94058859672446,9.76283326337312,I,FA.g1,FM.g2
2256,1434604,1561742,10.3554653673238,11.9183953105567,I,FA.g1,FM.g2
4975,2009662,2276923,17.0387212025711,17.749112870794,I,FA.g1,FM.g2
980,2916751,3004928,24.0971982637981,24.642177135305,I,FA.g1,FM.g2
4390,11950746,12262112,44.1680324331043,47.5048817500572,I,FA.g1,FM.g2
12311,12610282,13423417,48.5596672488147,49.9999757751296,I,FA.g1,FM.g2
1609,593923,682750,2.45086582635983,3.94034341810721,I,FA.g2,FM.g2
553,1127153,1216198,7.94058859672446,9.76283326337312,I,FA.g2,FM.g2
2256,1434604,1561742,10.3554653673238,11.9183953105567,I,FA.g2,FM.g2
6083,2139993,2530801,17.2652270154492,20.5194949956017,I,FA.g2,FM.g2
3377,2832305,3035520,23.6614498283377,24.6810001896358,I,FA.g2,FM.g2
90967,3413533,8048747,26.1006894718454,28.4213781600683,I,FA.g2,FM.g2
53800,8048876,11131342,28.4213899987626,37.4245047582196,I,FA.g2,FM.g2
42175,3050,2687515,0.00108832930163848,22.1896473865848,I,FM.g1,FM.g2
1702,3339665,3412592,25.0669781531373,26.0832101614286,I,FM.g1,FM.g2
14241,11131342,11819694,37.4245047582196,43.683542722194,I,FM.g1,FM.g2
293,11950746,12041007,44.1680324331043,45.0001190035895,I,FM.g1,FM.g2
1566,1664261,1726140,14.0760856522532,14.6743969601038,I,FA.g1,FB.g1
910,1833743,1888693,15.9138437028455,16.6659142398559,I,FA.g1,FB.g1
419,2378129,2437289,18.266911490461,19.5533905622184,I,FA.g1,FB.g1
833,2536619,2588637,20.6052843795385,21.141390150432,I,FA.g1,FB.g1
921,2922060,3004928,24.1245931486222,24.642177135305,I,FA.g1,FB.g1
1566,1664261,1726140,14.0760856522532,14.6743969601038,I,FA.g2,FB.g1
1711,2402766,2522269,18.7648961198827,20.3936862943731,I,FA.g2,FB.g1
1942,2652228,2748229,21.7539285698007,22.876994742727,I,FA.g2,FB.g1
3709,2754559,2921585,22.9364536654489,24.1221421088235,I,FA.g2,FB.g1
3796,2922060,3167837,24.1245931486222,24.8489182754061,I,FA.g2,FB.g1
1603,10922245,11041993,36.4369021344939,37.1947815112852,I,FA.g2,FB.g1
1711,2402766,2522269,18.7648961198827,20.3936862943731,I,FM.g1,FB.g1
555,9184073,9262439,29.4874002269227,30.1508698281797,I,FM.g1,FB.g1
