pos1,pos2,nbreak_per_haploid_genome,chrom,rilname
1053937,1828979,2,I,QG3086
2139993,2530798,2,I,QG3086
11131342,11819693,2,I,QG3086
1434604,1561738,2,I,QG3087
2832305,3035332,2,I,QG3087
8048876,11131313,2,I,QG3087
11511179,11511405,2,I,QG3087
645755,655267,2,I,QG3089
3517773,3536168,2,I,QG3089
10820424,10821163,2,I,QG3089
10918631,10921747,2,I,QG3089
10993745,10994059,2,I,QG3089
11951348,12262108,2,I,QG3089
1053937,1828979,2,I,QG3090
2009662,2276898,2,I,QG3090
2299367,2339727,2,I,QG3090
2402766,2437073,2,I,QG3090
12246823,12246823,2,I,QG3090
858901,879785,2,I,QG3091
1434604,1561738,2,I,QG3091
10687731,10699917,2,I,QG3091
10692830,10713504,2,I,QG3091
11064041,11085045,2,I,QG3091
2009662,2276898,2,I,QG3092
1127163,1217171,2,I,QG3093
1434879,1581747,2,I,QG3093
2139769,2530798,2,I,QG3093
11013776,11013776,2,I,QG3093
11721209,11733500,2,I,QG3093
1053592,1828979,2,I,QG3094
2139993,2276898,2,I,QG3094
2668276,2668321,2,I,QG3094
11471204,11471204,2,I,QG3094
11564070,11564085,2,I,QG3094
11951375,12040978,2,I,QG3094
337779,337779,2,I,QG3095
2139993,2276898,2,I,QG3095
2299367,2339727,2,I,QG3095
2799630,2799637,2,I,QG3095
11064041,11085045,2,I,QG3095
11927478,11971721,2,I,QG3095
12695134,12695135,2,I,QG3095
13009778,13019915,2,I,QG3095
1434604,1561738,2,I,QG3096
2139993,2276898,2,I,QG3096
2139993,2276898,2,I,QG3097
9300397,9322750,2,I,QG3097
1053937,1828979,2,I,QG3100
2139993,2276898,2,I,QG3100
8839172,8925885,2,I,QG3100
10751662,10751750,2,I,QG3100
11131342,11819693,2,I,QG3100
1434604,1561737,2,I,QG3101
1120765,1217171,2,I,QG3102
2139993,2277033,2,I,QG3102
9300412,9305344,2,I,QG3102
10682936,10687598,2,I,QG3102
11039135,11054147,2,I,QG3102
3339665,3412568,2,I,QG3103
10693163,10701788,2,I,QG3103
1813104,1813174,2,I,QG3104
2628038,2628322,2,I,QG3104
9142235,9175456,2,I,QG3104
10792722,10792841,2,I,QG3104
2009590,2276453,2,I,QG3105
2139993,2530798,2,I,QG3105
11928367,11971721,2,I,QG3105
12517948,12517988,2,I,QG3105
10922128,10926695,2,I,QG3106
11046102,11054147,2,I,QG3106
11919939,12262108,2,I,QG3106
1856709,1857071,2,I,QG3107
1934391,1934391,2,I,QG3107
2139993,2276898,1,I,QG3107
4175028,4175028,1,I,QG3107
8842929,8925885,1,I,QG3107
9964108,9997857,1,I,QG3107
10976016,10976082,1,I,QG3107
12048179,12055943,2,I,QG3107
1314401,1367965,2,I,QG3109
384904,384904,2,I,QG3110
2139769,2530751,2,I,QG3110
10693163,10701714,2,I,QG3110
2009662,2276898,2,I,QG3111
2139993,2530798,2,I,QG3111
2009662,2276898,2,I,QG3112
2139993,2530798,2,I,QG3112
727281,815405,2,I,QG3113
1314401,1368025,2,I,QG3113
2139993,2276898,2,I,QG3113
10596558,10629961,2,I,QG3113
1561781,1581747,2,I,QG3114
2139993,2276847,2,I,QG3114
11067658,11076504,2,I,QG3114
528042,528043,2,I,QG3115
1053937,1828979,2,I,QG3115
2139839,2274966,2,I,QG3115
7031565,7031821,2,I,QG3115
10985804,10986809,2,I,QG3115
12073433,12085953,2,I,QG3115
518639,526715,2,I,QG3116
1591841,1594333,2,I,QG3116
3563747,3564036,2,I,QG3116
12621437,12621831,2,I,QG3116
663915,665999,2,I,QG3117
2009563,2050451,2,I,QG3117
2139993,2530798,2,I,QG3117
2832305,3035332,2,I,QG3117
3644114,3863818,2,I,QG3117
9863221,9863364,2,I,QG3117
11260879,11260881,2,I,QG3117
1120185,1228698,2,I,QG3118
10248670,10273624,2,I,QG3118
11342896,11388903,2,I,QG3118
1127153,1216114,2,I,QG3119
11089149,11089204,2,I,QG3119
11930278,11971721,2,I,QG3119
13164725,13164725,1,I,QG3119
722228,727163,2,I,QG3120
1075372,1075372,2,I,QG3120
2009662,2276898,2,I,QG3120
2139993,2530798,2,I,QG3120
11572719,11573432,1,I,QG3120
11579969,11621054,1,I,QG3120
11950746,12262108,2,I,QG3120
12315634,12331391,2,I,QG3121
1434938,1561738,2,I,QG3122
2139993,2276898,2,I,QG3122
880037,1022769,2,I,QG3123
1646560,1652430,2,I,QG3123
2139993,2530798,2,I,QG3123
8048876,11131313,2,I,QG3123
11931217,12262108,2,I,QG3123
1561781,1581743,2,I,QG3124
1646560,1652979,2,I,QG3124
2139993,2276898,2,I,QG3124
10248670,10273658,2,I,QG3124
11138332,11138449,2,I,QG3124
11950746,12262108,2,I,QG3124
1434604,1561738,2,I,QG3125
10291665,10293555,2,I,QG3125
11617089,11617089,2,I,QG3125
692150,719766,2,I,QG3126
1069601,1069601,2,I,QG3126
1434151,1561738,2,I,QG3126
2139993,2277033,2,I,QG3126
8978298,8978298,2,I,QG3126
9713541,9713541,2,I,QG3126
11040050,11041801,2,I,QG3126
11624389,11624389,2,I,QG3126
1053592,1828979,2,I,QG3127
2139993,2276898,2,I,QG3127
457945,460874,2,I,QG3128
2004197,2050451,2,I,QG3128
2139993,2276898,2,I,QG3128
6200362,6200907,2,I,QG3128
11580043,11580043,2,I,QG3128
11927478,11971721,2,I,QG3128
593923,682741,2,I,QG3129
2009662,2276898,2,I,QG3129
11927478,11971721,2,I,QG3130
593923,682741,2,I,QG3132
4148760,4200857,2,I,QG3132
10963030,10963030,2,I,QG3132
11530155,11530203,2,I,QG3132
12261599,12261599,2,I,QG3132
1434604,1561738,2,I,QG3134
2139993,2530798,2,I,QG3134
8048876,11131313,2,I,QG3134
2009662,2276898,2,I,QG3135
3440665,3458653,2,I,QG3135
3471492,3503351,2,I,QG3135
8048876,11131313,2,I,QG3135
557676,581993,2,I,QG3136
2139993,2530798,2,I,QG3136
3644114,3863818,2,I,QG3136
10908605,10909477,2,I,QG3136
11042001,11042001,2,I,QG3136
11800523,11819693,2,I,QG3136
1385204,1385204,2,I,QG3137
1607450,1609254,2,I,QG3137
8048876,11131313,2,I,QG3137
2139993,2276898,2,I,QG3138
11067100,11076545,2,I,QG3138
11625218,11625218,2,I,QG3138
11930278,11971721,2,I,QG3138
12931249,13101498,2,I,QG3138
645755,655267,2,I,QG3139
1127153,1216114,2,I,QG3139
3339665,3412568,1,I,QG3139
3644114,3863818,1,I,QG3139
10732030,10732998,2,I,QG3139
11950746,12262108,2,I,QG3139
13028833,13040389,2,I,QG3139
1434604,1561738,2,I,QG3140
11131342,11819693,2,I,QG3140
12686671,12712057,2,I,QG3140
2402766,2437073,2,I,QG3141
2554349,2554349,2,I,QG3141
11930278,11971721,1,I,QG3141
11950746,12262108,1,I,QG3141
2139993,2276898,2,I,QG3142
2574008,2574008,2,I,QG3142
8048876,11131313,2,I,QG3142
11950746,11971721,2,I,QG3142
1314401,1370598,2,I,QG3143
10315696,10323786,2,I,QG3143
548400,548400,2,I,QG3144
2153996,2155091,2,I,QG3144
9283468,9338833,2,I,QG3144
9645114,9649205,2,I,QG3144
11212331,11235677,2,I,QG3144
11950746,12041241,2,I,QG3144
13028118,13101498,2,I,QG3144
11849017,11877851,2,I,QG3145
12204357,12245889,2,I,QG3145
10234193,10294911,2,I,QG3147
12039131,12041241,2,I,QG3147
1246145,1282101,2,I,QG3148
10234193,10294911,2,I,QG3148
11128122,11128333,2,I,QG3148
11387412,11390812,2,I,QG3148
11077088,11077088,2,I,QG3149
11861174,11861217,2,I,QG3149
1661914,1662149,2,I,QG3150
363477,397226,2,I,QG3151
2166892,2265269,2,I,QG3151
2402766,2520225,2,I,QG3151
2598074,2598074,2,I,QG3151
12039131,12041241,2,I,QG3151
2685772,2685772,2,I,QG3152
8486244,8643923,2,I,QG3152
11114947,11114947,2,I,QG3152
796961,807719,2,I,QG3153
1281168,1281168,2,I,QG3153
3272010,3274443,2,I,QG3153
9789291,9792084,2,I,QG3153
12056667,12071194,2,I,QG3153
2166892,2265269,2,I,QG3154
12039131,12041241,2,I,QG3154
9506492,9587818,2,I,QG3155
10318484,10590128,2,I,QG3155
11448770,11458959,2,I,QG3155
12076236,12085394,2,I,QG3155
1105572,1107726,2,I,QG3156
10477289,10577998,2,I,QG3156
10921997,10921997,2,I,QG3156
11131342,11819693,2,I,QG3156
11904404,11905240,2,I,QG3156
1314401,1368025,2,I,QG3157
11767409,11770813,2,I,QG3157
9596125,9671155,2,I,QG3158
11260002,11260451,2,I,QG3158
12076236,12085394,2,I,QG3158
1181667,1206772,2,I,QG3159
1561781,1561781,2,I,QG3159
11530578,11534732,2,I,QG3159
12328126,12328126,2,I,QG3159
2402766,2520225,2,I,QG3160
11391270,11540995,2,I,QG3160
11963511,11963511,2,I,QG3160
10181293,10282774,2,I,QG3161
11131342,11819693,2,I,QG3161
11950746,12041006,2,I,QG3161
8142423,8160707,2,I,QG3162
11950746,12041241,2,I,QG3162
3291500,3291500,2,I,QG3163
11131342,11819693,2,I,QG3163
12779999,12780526,2,I,QG3163
2796937,2797713,2,I,QG3164
9142235,9162591,2,I,QG3164
10742075,10742688,2,I,QG3166
11066901,11066901,2,I,QG3166
11564589,11574473,2,I,QG3166
12539468,12539524,2,I,QG3166
1896714,1900095,2,I,QG3167
9905477,9906156,2,I,QG3167
8995771,8995771,2,I,QG3168
11702832,11706043,2,I,QG3168
2124993,2125206,2,I,QG3169
8966790,8992870,2,I,QG3169
11530578,11534732,2,I,QG3169
12547700,12547716,2,I,QG3170
5698356,5698356,2,I,QG3171
10726535,10917594,2,I,QG3171
11950746,12041241,2,I,QG3171
9911455,9922955,2,I,QG3172
10707982,10708263,2,I,QG3172
11235677,11242656,2,I,QG3172
837768,850260,2,I,QG3173
884286,912581,2,I,QG3173
1005787,1009564,2,I,QG3173
11423237,11424524,2,I,QG3173
12064975,12065077,2,I,QG3173
1127153,1180058,2,I,QG3174
1314401,1368025,2,I,QG3174
2154155,2154155,2,I,QG3174
2402766,2520225,2,I,QG3174
11580043,11580043,2,I,QG3174
1246145,1282101,2,I,QG3175
1314401,1368025,2,I,QG3175
2775897,2778033,2,I,QG3175
3658148,3658184,2,I,QG3176
9642337,9671155,2,I,QG3176
11209440,11218941,2,I,QG3176
12039131,12054924,2,I,QG3176
3499557,3503315,2,I,QG3177
10231559,10234032,2,I,QG3177
11767299,11774847,2,I,QG3177
11950746,12041006,2,I,QG3177
12965565,12965576,2,I,QG3177
1621407,1621407,2,I,QG3178
2402766,2520225,2,I,QG3178
11134581,11135439,2,I,QG3178
12397513,12397524,2,I,QG3178
3192022,3192022,2,I,QG3179
11578490,11660086,2,I,QG3179
12061594,12061713,2,I,QG3179
12650641,12652009,2,I,QG3179
3091642,3190769,2,I,QG3180
5450529,5450648,2,I,QG3180
11460757,11460781,2,I,QG3180
1127153,1180058,1,I,QG3181
1314401,1368025,1,I,QG3181
9804355,9806864,2,I,QG3181
12197040,12197040,2,I,QG3181
1623408,1624321,2,I,QG3182
11950746,12041241,2,I,QG3182
1714423,1719128,2,I,QG3183
10726535,10917594,2,I,QG3183
11650381,11674078,2,I,QG3183
837768,850260,2,I,QG3185
987044,987080,2,I,QG3185
1007167,1009564,2,I,QG3185
10726535,10917594,2,I,QG3185
11082255,11094486,2,I,QG3185
11469224,11489787,2,I,QG3185
363477,397226,2,I,QG3186
10958803,10958962,2,I,QG3186
11565130,11565130,2,I,QG3186
11950746,12041241,2,I,QG3186
12076236,12085394,2,I,QG3186
783134,783134,2,I,QG3187
8996462,9027150,2,I,QG3187
10726535,10917594,2,I,QG3187
11789102,11800757,2,I,QG3187
501116,513340,2,I,QG3188
1916464,1924866,2,I,QG3188
11299719,11299719,2,I,QG3188
10726535,10917594,2,I,QG3192
11182472,11182620,2,I,QG3192
11212331,11235677,2,I,QG3192
11878013,11950513,2,I,QG3192
1112345,1120534,2,I,QG3193
10706264,10706264,2,I,QG3193
11284303,11284378,2,I,QG3193
12245222,12245889,2,I,QG3193
10008963,10025763,2,I,QG3194
11950746,12041241,2,I,QG3194
10962057,10963022,2,I,QG3196
11206771,11207884,2,I,QG3196
11927478,12041006,2,I,QG3196
2166892,2265269,2,I,QG3197
8142423,8160707,2,I,QG3197
11206771,11207884,2,I,QG3197
8667473,8667975,2,I,QG3198
10954873,10958575,2,I,QG3198
11927478,12041006,2,I,QG3198
2649191,2669069,2,I,QG3199
8315254,8315412,2,I,QG3199
8966790,8992870,2,I,QG3199
11688110,11688110,2,I,QG3199
11131342,11819693,2,I,QG3200
11849017,11877851,2,I,QG3200
12197040,12197040,2,I,QG3200
1314401,1368025,2,I,QG3201
1683276,1683276,2,I,QG3201
10922245,11041992,2,I,QG3201
12039131,12054924,2,I,QG3201
12064288,12064359,2,I,QG3201
1055773,1061096,2,I,QG3202
2649191,2669069,2,I,QG3202
11001729,11001788,2,I,QG3202
11026789,11026828,2,I,QG3202
9488336,9504250,2,I,QG3203
9506492,9587818,2,I,QG3203
11774954,11776237,2,I,QG3203
11935434,11935434,2,I,QG3203
1434604,1561738,2,I,QG3205
2139993,2276898,2,I,QG3205
12576298,12576483,2,I,QG3205
8048876,11131313,2,I,QG3206
11565130,11565130,2,I,QG3206
12184650,12184695,2,I,QG3206
1053937,1828979,2,I,QG3207
9572251,9583667,2,I,QG3208
1053937,1828979,2,I,QG3209
2139993,2276898,2,I,QG3209
11077064,11077079,2,I,QG3209
11930278,11971721,2,I,QG3209
1127153,1216114,2,I,QG3211
1584180,1585013,2,I,QG3211
3339665,3412568,2,I,QG3211
11950746,12041006,2,I,QG3211
3036371,3047191,2,I,QG3212
4859466,4874738,2,I,QG3212
10243427,10247804,2,I,QG3212
11950746,12041006,2,I,QG3212
645755,655267,2,I,QG3213
1434604,1561738,2,I,QG3213
9142235,9175456,2,I,QG3213
2139993,2276898,2,I,QG3214
9394633,9394633,2,I,QG3214
11927478,11971721,2,I,QG3214
12262223,12296756,2,I,QG3214
1754670,1754670,2,I,QG3215
2009662,2276898,2,I,QG3215
9792084,9792084,2,I,QG3215
9856175,9875870,2,I,QG3215
11091865,11091931,2,I,QG3215
2139993,2530798,2,I,QG3217
8048876,11131313,2,I,QG3217
1112345,1120534,2,I,QG3219
2139993,2276898,2,I,QG3219
3620872,3620945,2,I,QG3219
8048876,11131313,2,I,QG3219
1314401,1368025,2,I,QG3220
1434604,1561738,2,I,QG3220
484066,499332,2,I,QG3221
2139993,2276898,2,I,QG3221
3678972,3678977,2,I,QG3221
11930278,12041006,2,I,QG3221
2911823,2927778,2,I,QG3222
8048876,11131313,2,I,QG3222
11131342,11819693,2,I,QG3222
1053937,1828979,2,I,QG3223
2009662,2276898,2,I,QG3223
3644114,3863818,2,I,QG3223
8048876,11131313,2,I,QG3223
2009662,2276898,2,I,QG3224
2402766,2437073,2,I,QG3224
9948658,9958276,2,I,QG3224
11131342,11132280,2,I,QG3224
11950746,12262108,2,I,QG3224
2610322,2610362,2,I,QG3225
12246507,12246507,2,I,QG3225
3629224,3629289,2,I,QG3226
10954873,10961479,2,I,QG3226
11059045,11062322,2,I,QG3226
12046464,12048156,2,I,QG3226
2139993,2276898,2,I,QG3227
2050638,2086857,2,I,QG3230
2139993,2530798,2,I,QG3230
3320938,3348435,2,I,QG3230
3417343,3417351,2,I,QG3230
10751073,10751073,2,I,QG3230
12799613,12808734,2,I,QG3230
13182154,13188958,2,I,QG3230
2050638,2086857,2,I,QG3231
11131342,11819693,2,I,QG3231
2456120,2456311,2,I,QG3232
9305344,9305344,2,I,QG3232
12076236,12085394,2,I,QG3232
1934391,1934391,2,I,QG3233
2139993,2276898,2,I,QG3233
2543784,2543784,2,I,QG3233
2800546,2800591,2,I,QG3233
9468457,9506492,2,I,QG3233
11064041,11085045,2,I,QG3233
11950746,12041006,2,I,QG3233
880037,1022769,2,I,QG3234
2795849,2795849,2,I,QG3234
2009662,2276898,2,I,QG3235
12386438,12386720,2,I,QG3235
880037,1022769,2,I,QG3236
11150090,11154922,2,I,QG3236
9718351,9751623,2,I,QG3237
10275066,10275180,2,I,QG3237
2139993,2530798,2,I,QG3238
2832305,3035332,2,I,QG3238
1055773,1828979,2,I,QG3239
2050638,2086857,2,I,QG3239
3542131,3557883,2,I,QG3239
1646560,1652979,2,I,QG3240
2139993,2276898,2,I,QG3240
8048876,11131313,2,I,QG3240
11573111,11573111,2,I,QG3240
12046464,12048156,2,I,QG3240
2139993,2276898,2,I,QG3241
8048876,11131313,2,I,QG3241
880037,1022769,2,I,QG3242
1053937,1828979,2,I,QG3242
2139993,2276898,2,I,QG3242
2380888,2384499,2,I,QG3242
9718351,9751623,2,I,QG3242
10218527,10218583,2,I,QG3242
11930278,12041006,2,I,QG3242
12128799,12128809,1,I,QG3242
1097426,1097426,2,I,QG3243
1434604,1561738,2,I,QG3243
2139993,2276898,2,I,QG3243
11078643,11078643,2,I,QG3243
11930278,11971721,2,I,QG3243
880037,1022769,2,I,QG3244
1216387,1217329,2,I,QG3244
1860208,1862890,2,I,QG3244
2139993,2276898,2,I,QG3244
9773865,9789284,2,I,QG3244
11636887,11636887,2,I,QG3244
11930278,12041006,2,I,QG3244
2139993,2276898,2,I,QG3245
9804355,9812925,2,I,QG3245
10596558,10634409,2,I,QG3245
11054671,11059045,1,I,QG3245
11215702,11215828,1,I,QG3245
11930278,12041006,2,I,QG3245
1434604,1561738,2,I,QG3246
2004197,2050451,2,I,QG3246
2139993,2276898,2,I,QG3246
10607149,10608085,2,I,QG3246
11131342,11819693,2,I,QG3246
11950746,11971721,2,I,QG3246
1053937,1828979,2,I,QG3248
2139993,2276898,2,I,QG3248
7028372,7028388,2,I,QG3248
8048876,11131313,2,I,QG3248
11930278,11971721,2,I,QG3248
2124409,2124427,2,I,QG3249
1053937,1828979,2,I,QG3250
2139993,2276898,2,I,QG3250
9861933,9861999,2,I,QG3250
11035833,11035833,2,I,QG3250
11342679,11387305,2,I,QG3250
11950746,12041006,2,I,QG3252
1314401,1368025,2,I,QG3254
8048876,11131313,2,I,QG3254
858901,879785,2,I,QG3255
2139993,2276898,2,I,QG3255
11409333,11409791,2,I,QG3255
2139993,2276898,2,I,QG3256
2736117,2736765,2,I,QG3256
11131342,11819693,2,I,QG3256
11930278,12041006,2,I,QG3256
1314401,1368025,2,I,QG3257
1434604,1561738,2,I,QG3257
1930883,1930908,2,I,QG3257
2139993,2276898,2,I,QG3257
8048876,11131313,2,I,QG3257
11131342,11819693,2,I,QG3257
11950746,12041006,2,I,QG3257
12296822,12314877,2,I,QG3257
9792084,9792084,2,I,QG3258
9856175,9875870,2,I,QG3258
10082651,10087592,2,I,QG3258
11216396,11216396,2,I,QG3258
11621770,11668623,2,I,QG3258
11930278,11971721,2,I,QG3258
1127153,1216114,2,I,QG3261
1434604,1561738,2,I,QG3261
2139993,2276898,2,I,QG3261
11621770,11668623,2,I,QG3261
1097426,1097426,2,I,QG3262
1314401,1368025,2,I,QG3262
2139993,2276898,2,I,QG3262
645755,655267,2,I,QG3263
3563731,3564036,2,I,QG3263
11636887,11636887,2,I,QG3263
1079936,1079949,2,I,QG3264
1314401,1368025,2,I,QG3264
1561781,1581747,2,I,QG3264
2139993,2276898,2,I,QG3264
11067100,11076545,2,I,QG3264
11501213,11507088,2,I,QG3264
11787115,11787831,2,I,QG3264
12931249,13101498,2,I,QG3264
2832305,3035332,1,I,QG3265
8048876,11131313,1,I,QG3265
11743498,11743939,2,I,QG3265
2139993,2530798,2,I,QG3266
2761736,2761736,2,I,QG3266
10687731,10699917,2,I,QG3266
363477,397226,2,I,QG3267
1909159,1909163,2,I,QG3267
1932454,1932595,2,I,QG3267
3353894,3354468,2,I,QG3267
10875940,10875940,2,I,QG3267
11950746,12041241,2,I,QG3268
1246145,1282101,2,I,QG3269
10831067,10831067,2,I,QG3269
11020316,11020316,2,I,QG3269
11170262,11170600,2,I,QG3269
1314401,1368025,2,I,QG3270
5350278,5350354,2,I,QG3270
1055773,1061096,2,I,QG3271
1379836,1379836,2,I,QG3271
10725854,10726445,2,I,QG3271
12561143,12561144,2,I,QG3271
9720270,9741185,2,I,QG3272
11171283,11182472,2,I,QG3272
11525485,11525485,2,I,QG3272
